code;nom;terrain
BEA;Beaufort;any
BEU;Beaumont;hill
BAU;Beauregard;any
BSO;Beausoleil;any
BEC;Belcourt;any
BEF;Belfroid;any
BCO;Bellecombe;any
BPI;Bellepierre;any
BEL;Bellevue;any
BEM;Belmarch;any
BER;Belrond;any
BLV;Belval;any
BEV;Beauvallon;any
BVE;Beauvent;any
BBR;Boisbrun;forest
BCL;Boisclair;forest
BOS;Boiscourt;forest
BSF;Boisfort;forest
BJL;Boisjoli;forest
BLG;Boislong;forest
BMO;Boismont;forest
BPP;Boispierre;forest
BOI;Boisrond;forest
BVL;Boisval;forest
BVR;Boisvert;forest
BBE;Bourgbelle;any
BGC;Bourgclair;any
BOR;Bourgcourt;any
BGF;Bourgfer;any
BFO;Bourgfort;any
BMA;Bourgmarch;any
BOU;Bourgmont;any
BUR;Bourgneuf;any
BGS;Bourgsoleil;any
BRG;Bourgval;any
BVO;Bourgvallon;any
CBE;Châteaubel;any
CBO;Châteaubois;forest
CCL;Châteauclair;any
CFR;Châteaufroid;any
CGD;Châteaugarde;any
CMN;Châteaumont;any
CHA;Châteauneuf;any
CPE;Châteaupierre;any
CVA;Châteauvallon;any
CVE;Châteauvent;any
CVT;Châteauvert;any
CVX;Châteauvieux;any
CLI;Clairfont;any
CLA;Clairvaux;any
CLF;Closfort;any
CLS;Closmont;any
CLO;Closval;any
DRU;Druval;any
FER;Ferrières;any
FBE;Fontbelle;any
FON;Fontclair;any
FCO;Fontcourbe;any
FFR;Fontfroid;any
FGA;Fontgarde;any
FLO;Fontloup;any
FMA;Fontmarch;any
FNE;Fontneuf;any
FPI;Fontpierre;any
FRO;Fontrond;any
FSO;Fontsoleil;any
FVA;Fontval;any
FVE;Fontvert;any
GRA;Grandval;hill
GRI;Griffecourt;any
HAU;Hauterive;hill
LON;Longval;hill
MAB;Maisonbelle;any
MBR;Maisonbrune;any
MCO;Maisoncourt;any
MAS;Maisonfort;any
MFR;Maisonfroide;any
MGD;Maisongarde;any
MAI;Maisonneuve;any
MVL;Maisonval;any
MVE;Maisonvent;any
MIN;Minerval;any
MON;Montauban;mountain
MBO;Montbord;mountain
MTB;Montbrun;mountain
MCH;Montchêne;mountain
MCL;Montclair;mountain
MCB;Montcourbe;mountain
MCT;Montcourt;mountain
MFE;Montfer;mountain
MFL;Montfleur;mountain
MOT;Montfort;mountain
MFD;Montfroid;mountain
MGA;Montgard;mountain
MJO;Montjoie;mountain
MLC;Montlac;mountain
MLG;Montlong;mountain
MNT;Montloup;mountain
MPI;Montpierre;mountain
MRO;Montroche;mountain
MSO;Montsoleil;mountain
MVA;Montvallon;mountain
MVT;Montvent;mountain
MVR;Montvert;mountain
NOR;Norgard;any
ORV;Orval;any
PER;Persac;any
PBE;Pontbelle;any
PBS;Pontbois;forest
PCL;Pontclair;any
PON;Pontcourt;any
PFE;Pontfer;any
PFR;Pontfroid;any
PGA;Pontgarde;any
PLO;Pontloup;any
PMO;Pontmont;any
POT;Pontneuf;any
PNT;Pontpierre;any
PRN;Pontrond;any
PVA;Pontval;any
PVR;Pontvert;any
PBL;Prébelle;plain
PCR;Préclair;plain
PCO;Précourt;plain
PRE;Préfort;plain
PRD;Préfroid;plain
PMT;Prémont;plain
PRV;Préval;plain
PVL;Prévallon;plain
PVE;Prévent;plain
RBE;Rochebelle;hill
RBO;Rochebord;hill
RBU;Rochebrune;hill
RCL;Rocheclair;hill
RCO;Rochecombe;hill
RCB;Rochecourbe;hill
ROC;Rochefort;hill
RFR;Rochefroid;hill
RLG;Rochelong;hill
RLO;Rocheloup;hill
RNE;Rocheneuf;hill
RPI;Rochepierre;hill
RSE;Rochesèche;hill
RVL;Rocheval;hill
RVE;Rochevent;hill
RON;Ronceval;hill
ROS;Rosemont;plain
SAN;Saintclair;any
SBE;Saintebelle;any
SCO;Saintecombe;any
SIN;Saintefoy;any
SFO;Saintfort;any
SFR;Saintfroid;any
SLO;Saintloup;any
SMA;Saintmarch;any
SMO;Saintmont;any
SAI;Saintonge;any
SVA;Saintval;any
SVE;Saintvent;any
SVR;Saintvert;any
SAU;Sauveterre;forest
SOM;Sombreval;hill
TAL;Talvant;hill
UZE;Uzefort;any
VAI;Valaigle;hill
VBO;Valbelle;hill
VBS;Valbois;forest
VBR;Valbrun;hill
VCR;Valclair;hill
VCM;Valcombe;hill
VAC;Valcourt;hill
VAL;Valcroissant;hill
VAF;Valfer;hill
VAG;Valgarde;hill
VLN;Vallong;hill
VMR;Valmarch;hill
VAM;Valmont;hill
VPR;Valpierre;hill
VAR;Valroche;hill
VVT;Valvent;hill
VAV;Valvert;hill
VAU;Vaugrès;hill
VBE;Villebelle;any
VCL;Villeclaire;any
VCO;Villecombe;any
VCT;Villecourt;any
VDI;Villedieu;any
VFD;Villefonds;any
VFO;Villefort;any
VFR;Villefroid;any
VLG;Villelong;any
VMA;Villemarche;any
VMO;Villemont;any
VIL;Villeneuve;any
VNU;Villenuit;any
VPI;Villepierre;any
VRU;Villereuil;any
VRO;Villeroche;any
VVA;Villeval;any
VVE;Villevert;any
BPR;Beaupré;plain
VER;Vergers;plain
CHP;Champlong;plain
BVA;Bléval;plain
BCH;Beauchamp;plain
PLG;Prélong;plain
MEC;Meunecourt;plain
BLA;Bléclair;plain
BFL;Bléfort;plain
BLM;Blémont;plain
BLP;Blépierre;plain
BLS;Blésoleil;plain
CBL;Champblanc;plain
CBC;Champcourt;plain
CBF;Champfort;plain
CGR;Champgrand;plain
CLP;Champlieu;plain
CML;Champmoulin;plain
CPN;Champneuf;plain
CPR;Champreuil;plain
CVR;Champvert;plain
CPD;Champdor;plain
CSE;Champserein;plain
DOU;Douceplaine;plain
EPI;Épival;plain
EPR;Épreval;plain
FAR;Farineval;plain
FRM;Fromentval;plain
GBL;Grangeblanche;plain
GCP;Grangecourt;plain
GFO;Grangefort;plain
GPN;Grangepierre;plain
GVA;Grangeval;plain
LBC;Labourcourt;plain
LBF;Labourfort;plain
