code;nom
ACH;Achard
ADE;Adélaïde
AGN;Agnès
ALI;Aliénor
AMA;Amaury
AME;Ameline
ARN;Arnoul
AUE;Aude
AUD;Audoin
AVE;Aveline
AYM;Aymeri
AEL;Aélis
BAR;Barthélemy
BAU;Baudoin
BAD;Baudry
BEN;Bernier
BET;Berthe
BRT;Bertrand
BLA;Blanche
BOU;Bouchard
BEA;Béatrix
BER;Bérenger
BEG;Bérengère
CHA;Charles
CLM;Clémence
CLE;Clément
COS;Constance
CON;Constant
DRE;Dreux
EMM;Emmeline
ENG;Enguerrand
ERM;Ermengarde
EUD;Eudes
EUS;Eustache
FOU;Foulques
GAB;Gaubert
GAU;Gaucher
GEN;Geneviève
GEO;Geoffroy
GES;Gersende
GER;Gervais
GIL;Gilbert
GIR;Girard
GOD;Godefroy
GON;Gontran
GUI;Guillaume
GUY;Guy
GUE;Guérin
HEL;Helvise
HER;Herbert
HES;Hersende
HEV;Hervé
HIL;Hildegarde
HUO;Hugon
HUG;Hugues
IMB;Imbert
ISA;Isabelle
ISE;Isembert
JEA;Jean
JEN;Jeanne
JOC;Jocelin
JOS;Josseran
JOU;Jourdain
JUD;Judith
JUL;Julienne
LAM;Lambert
LAN;Lancelot
LAD;Landry
LOU;Louis
LEO;Léonard
MAB;Mabille
MAH;Mahaut
MAN;Manassès
MAR;Marguerite
MAI;Marie
MAT;Mathilde
MIL;Miles
MOR;Morin
MEL;Mélisende
ODO;Odon
OGE;Oger
OLV;Olive
OLI;Olivier
ONF;Onfroy
PAY;Payen
PHL;Philippa
PHI;Philippe
PIE;Pierre
PET;Pétronille
RAM;Raimbaud
RIM;Raimon
RAI;Rainaud
RAO;Raoul
REN;Renaud
RIC;Richard
RIH;Richilde
ROB;Robert
ROG;Roger
RNI;Rénier
SAB;Sabine
SAL;Salomon
SAM;Samson
SEG;Seguin
SIB;Sibylle
SIC;Sicard
SIM;Simon
SUZ;Suzanne
TAN;Tancrède
THI;Thibaut
THE;Thierry
THO;Thomas
TIP;Tiphaine
VAL;Valeran
VAR;Varin
YOL;Yolande
YSA;Ysabeau
YSE;Yseult
YVE;Yves
YVO;Yvon
ELI;Élisabeth
